orderID,custID,dishID,orderDate,quantity,totalAmmount
235,11,5,2024-08-18,1,13
236,8,73,2024-08-19,1,20
237,10,22,2024-08-20,1,15
238,14,95,2024-08-21,2,30
239,8,75,2024-08-22,3,9
240,15,103,2024-08-23,1,6
241,9,100,2024-08-24,1,12
242,9,48,2024-08-25,1,8
243,14,103,2024-08-26,2,12
244,2,36,2024-08-27,3,37.5
245,11,36,2024-08-28,3,37.5
246,9,95,2024-08-29,3,45
247,7,84,2024-08-30,2,17
248,6,86,2024-08-31,3,25.5
249,15,95,2024-09-01,2,30
250,13,25,2024-09-02,1,14
251,6,72,2024-09-03,3,25.5
252,2,48,2024-09-04,3,24
253,1,25,2024-09-05,3,42
254,8,52,2024-09-06,1,12
255,1,26,2024-09-07,1,3
256,2,51,2024-09-08,2,28
257,4,74,2024-09-09,1,11
258,13,91,2024-09-10,2,32
259,3,57,2024-09-11,3,48
260,15,63,2024-09-12,1,8
261,12,85,2024-09-13,1,10
262,4,54,2024-09-14,2,40
263,11,31,2024-09-15,2,18
264,7,90,2024-09-16,1,6
265,15,64,2024-09-17,1,20
266,14,78,2024-09-18,3,22.5
267,4,77,2024-09-19,1,11
268,11,54,2024-09-20,3,60
269,6,37,2024-09-21,3,30
270,3,24,2024-09-22,1,11
271,2,39,2024-09-23,1,16
272,14,41,2024-09-24,2,28
273,1,4,2024-09-25,2,24
274,4,31,2024-09-26,3,27
275,12,62,2024-09-27,2,32
276,6,84,2024-09-28,3,25.5
277,1,35,2024-09-29,1,7.5
278,2,54,2024-09-30,1,20
279,15,97,2024-09-31,2,25
280,4,49,2024-10-01,1,8.5
281,13,95,2024-10-02,1,15
282,9,95,2024-10-03,1,15
283,8,1,2024-10-04,3,9
284,15,30,2024-10-05,3,45
285,13,25,2024-10-06,3,42
286,5,83,2024-10-07,2,28
287,8,40,2024-10-08,3,60
288,14,3,2024-10-09,1,11
289,14,52,2024-10-10,3,36
290,4,74,2024-10-11,2,22
291,9,31,2024-10-12,2,18
292,10,29,2024-10-13,1,10
293,15,96,2024-10-14,3,27
294,10,9,2024-10-15,2,18
295,2,3,2024-10-16,1,11
296,10,100,2024-10-17,2,24
297,14,59,2024-10-18,3,39
298,4,70,2024-10-19,2,25
299,2,36,2024-10-20,2,25
300,9,72,2024-10-21,1,8.5
301,15,39,2024-10-22,3,48
302,8,19,2024-10-23,1,6
303,8,84,2024-10-24,1,8.5
304,15,77,2024-10-25,2,22
305,9,13,2024-10-26,3,24
306,2,6,2024-10-27,2,28
307,5,37,2024-10-28,3,30
308,8,96,2024-10-29,1,9
309,9,49,2024-10-30,1,8.5
310,8,94,2024-10-31,3,45
311,11,12,2024-11-01,2,40
312,2,12,2024-11-02,1,20
313,11,31,2024-11-03,1,9
314,4,1,2024-11-04,1,3
315,14,105,2024-11-05,1,8
316,11,73,2024-11-06,3,60
317,11,18,2024-11-07,1,12.5
318,14,65,2024-11-08,1,13
319,8,20,2024-11-09,1,7.5
320,13,75,2024-11-10,3,9
321,12,95,2024-11-11,3,45
322,7,40,2024-11-12,1,20
323,13,101,2024-11-13,3,27
324,15,5,2024-11-14,3,39
325,10,33,2024-11-15,2,17
326,14,101,2024-11-16,3,27
327,5,65,2024-11-17,1,13
328,7,13,2024-11-18,2,16
329,14,87,2024-11-19,2,40
330,12,93,2024-11-20,2,6
331,2,54,2024-11-21,2,40
332,2,49,2024-11-22,1,8.5
333,1,27,2024-11-23,2,26
334,1,28,2024-11-24,2,32
335,9,42,2024-11-25,3,36
336,5,12,2024-11-26,2,40
337,9,66,2024-11-27,3,36
338,13,50,2024-11-28,3,9
339,12,102,2024-11-29,1,8.5
340,8,83,2024-11-30,2,28
341,13,73,2024-11-31,1,20
342,8,78,2024-12-01,3,22.5
343,2,9,2024-12-02,3,27
344,2,41,2024-12-03,1,14
345,2,50,2024-12-04,3,9
346,1,19,2024-12-05,1,6
347,12,63,2024-12-06,1,8
348,3,64,2024-12-07,2,40
349,9,49,2024-12-08,2,17
350,5,58,2024-12-09,3,37.5
351,12,102,2024-12-10,2,17
352,3,61,2024-12-11,1,11
353,3,58,2024-12-12,3,37.5
354,1,20,2024-12-13,3,22.5
355,11,69,2024-12-14,2,6
356,15,75,2024-12-15,3,9
357,8,66,2024-12-16,2,24
358,7,60,2024-12-17,2,18
359,5,53,2024-12-18,3,45
360,5,68,2024-12-19,2,15
361,4,72,2024-12-20,2,17
362,2,38,2024-12-21,1,14
363,9,100,2024-12-22,2,24
364,11,28,2024-12-23,2,32
365,3,62,2024-12-24,2,32
366,3,55,2024-12-25,3,39
367,4,71,2024-12-26,3,30
368,10,23,2024-12-27,2,25
369,13,96,2024-12-28,3,27
370,2,42,2024-12-29,3,36
371,6,81,2024-12-30,3,18
372,1,10,2024-12-31,2,40
373,11,16,1/01/2025,2,17
374,1,31,2/01/2025,2,18
375,13,37,3/01/2025,2,20
376,13,96,4/01/2025,1,9
377,11,38,5/01/2025,2,28
378,3,9,6/01/2025,2,18
379,15,66,7/01/2025,1,12
380,13,56,8/01/2025,3,18
381,12,11,9/01/2025,2,22
382,4,69,10/01/2025,1,3
383,9,73,11/01/2025,3,60
384,7,92,12/01/2025,2,32
385,3,56,13/01/2025,2,12
386,14,47,14/01/2025,1,7.5
387,4,39,15/01/2025,3,48
388,13,63,16/01/2025,2,16
389,1,29,17/01/2025,2,20
390,10,101,18/01/2025,3,27
391,11,69,19/01/2025,1,3
392,1,11,20/01/2025,3,33
393,7,57,21/01/2025,2,32
394,6,48,22/01/2025,1,8
395,1,11,23/01/2025,2,22
396,8,39,24/01/2025,1,16
397,10,6,25/01/2025,2,28
398,6,87,26/01/2025,3,60
399,4,60,27/01/2025,1,9
400,2,55,28/01/2025,3,39
401,7,66,29/01/2025,1,12
402,1,21,30/01/2025,3,39
403,7,19,31/01/2025,2,12
404,3,9,1/02/2025,3,27
405,11,10,2/02/2025,3,60
406,12,1,3/02/2025,2,6
407,6,89,4/02/2025,2,25
408,6,78,5/02/2025,3,22.5
409,8,37,6/02/2025,3,30
410,8,93,7/02/2025,2,6
411,3,47,8/02/2025,1,7.5
412,12,72,9/02/2025,1,8.5
413,10,100,10/02/2025,3,36
414,14,13,11/02/2025,3,24
415,14,40,12/02/2025,2,40
416,13,77,13/02/2025,2,22
417,12,39,14/02/2025,2,32
418,11,99,15/02/2025,1,12
419,3,40,16/02/2025,3,60
420,13,85,17/02/2025,1,10
421,3,60,18/02/2025,2,18
422,7,56,19/02/2025,1,6
423,5,74,20/02/2025,3,33
424,1,36,21/02/2025,3,37.5
425,5,80,22/02/2025,2,26
426,6,43,23/02/2025,3,36
427,9,55,24/02/2025,3,39
428,2,16,25/02/2025,1,8.5
429,1,5,26/02/2025,1,13
430,11,25,27/02/2025,2,28
431,5,81,28/02/2025,3,18
432,7,58,29-02-2025,1,12.5
433,14,45,30-02-2025,2,18
434,11,85,31-02-2025,1,10
435,4,11,1/03/2025,1,11
436,9,87,2/03/2025,2,40
437,10,28,3/03/2025,1,16
438,9,11,4/03/2025,1,11
439,15,43,5/03/2025,1,12
440,15,55,6/03/2025,3,39
441,15,19,7/03/2025,1,6
442,13,82,8/03/2025,2,30
443,4,65,9/03/2025,3,39
444,9,2,10/03/2025,3,27
445,13,83,11/03/2025,3,42
446,9,99,12/03/2025,2,24
447,1,21,13/03/2025,2,26
448,14,56,14/03/2025,3,18
449,10,47,15/03/2025,3,22.5
450,6,21,16/03/2025,1,13
451,13,60,17/03/2025,2,18
452,15,99,18/03/2025,2,24
453,1,10,19/03/2025,3,60
454,1,22,20/03/2025,3,45
455,11,36,21/03/2025,2,25
456,10,1,22/03/2025,2,6
457,8,33,23/03/2025,2,17
458,5,19,24/03/2025,2,12
459,12,32,25/03/2025,3,18
460,14,22,26/03/2025,2,30
461,5,82,27/03/2025,1,15
462,10,79,28/03/2025,3,45
463,1,6,29/03/2025,3,42
464,13,2,30/03/2025,1,9
465,8,72,31/03/2025,1,8.5
466,7,92,1/04/2025,1,16
467,14,31,2/04/2025,3,27
468,6,56,3/04/2025,3,18
469,15,58,4/04/2025,3,37.5
470,9,86,5/04/2025,2,17
471,14,88,6/04/2025,3,24
472,10,54,7/04/2025,1,20
473,13,96,8/04/2025,2,18
474,4,54,9/04/2025,3,60
475,8,27,10/04/2025,2,26
476,6,22,11/04/2025,1,15
477,1,32,12/04/2025,2,12
478,9,13,13/04/2025,3,24
479,8,69,14/04/2025,3,9
480,2,39,15/04/2025,2,32
481,14,84,16/04/2025,1,8.5
482,15,96,17/04/2025,2,18
483,2,37,18/04/2025,1,10
484,3,64,19/04/2025,1,20
485,7,63,20/04/2025,2,16
486,14,92,21/04/2025,2,32
487,3,65,22/04/2025,3,39
488,1,32,23/04/2025,2,12
489,11,90,24/04/2025,1,6
490,12,58,25/04/2025,1,12.5
491,14,61,26/04/2025,3,33
492,8,14,27/04/2025,2,12
493,4,73,28/04/2025,3,60
494,15,63,29/04/2025,3,24
495,15,69,30/04/2025,3,9
496,6,65,31-04-2025,2,26
497,14,102,1/05/2025,1,8.5
498,15,66,2/05/2025,3,36
499,11,82,3/05/2025,3,45
500,9,79,4/05/2025,1,15
